Concept,Form,Concept Count No Idioms,Form Count No Idioms,Idiom Concept Count,Idiom Form Count,Concept Count,Form Count,Smoothed Concept Given Concept Forms
bellen_WW_TELEFOON,bellen,2787.4,3982,,,2787,3982,
vlam_ZSTNW,vlam,701.1,738,,,701,738,
tafel_ETEN_OBJECT,tafel,5013,5013,69,76,5020,5089,0.9864413441
hoorns_HOORNS,hoorns,239.4,684,3,3,239,687,0.3478893741
steun_STEUN_ZSTNW,steun,4114.4,5143,,,4114,5143,
verzetten_WEERSTAND,verzetten,835.1,2386,,,835,2386,
trui_TRUI,trui,464,464,,,464,464,
terrein_GROND,terrein,2220.9,4038,,,2221,4038,
soort_RAS,soort,19344,19344,,,19344,19344,
onzeker_ONZEKER,onzeker,1113,1113,,,1113,1113,
raar_GEK,raar,3314,3314,,,3314,3314,
breed_BREED,breed,4787,4787,45,45,4787,4832,0.9906870861
wakker_NIET_SLAAP,wakker,3780,3780,92,98,3786,3878,0.9762764312
ijskast_KOELKAST_VRIEZER,ijskast,137,137,,,137,137,
zakdoek_ZAKDOEK,zakdoek,143,143,,,143,143,
trouw_ZSTNW,trouw,866.8,1576,,,867,1576,
luier_BABY,luier,151,151,,,151,151,
schip_ZEE,schip,4453.6,4688,,,4454,4688,
verwijt_ZSTNW,verwijt,388,970,,,388,970,
muur_MUUR,muur,4013,4013,19,22,4016,4035,0.995291202
vuren_ZSTNW,vuren,3309.8,3484,26,28,3312,3512,0.9430523918
knoop_JAS,knoop,105.2,1052,,,105,1052,
verschijnen_VERSCHIJNEN,verschijnen,3690,3690,,,3690,3690,
kluis_KLUIS,kluis,247,247,,,247,247,
kwetsen_KWETSEN,kwetsen,451,451,,,451,451,
duivel_DUIVEL,duivel,1034,1034,,,1034,1034,
lichaam_MENSELIJKLICHAAM,lichaam,8868,8868,,,8868,8868,
centen_CENTEN,centen,1174,1174,3,3,1174,1177,0.997451147
neus_GEZICHT,neus,2254.4,2818,26,26,2254,2844,0.7925457103
hartslag_HARTSLAG,hartslag,439,439,,,439,439,
grond_BODEM,grond,6112.2,10187,11,11,6112,10198,0.5993332026
opbouwen_OPBOUWEN,opbouwen,3898,5089,,,3898,5089,
